,region,service,mode,percent
699,Levin,supermarket,cycling,97.0
700,Levin,supermarket,walking,42.0
701,Levin,supermarket,driving,100.0
702,Levin,ece,cycling,97.0
703,Levin,ece,walking,94.0
704,Levin,ece,driving,100.0
705,Levin,doctor,cycling,98.0
706,Levin,doctor,walking,71.0
707,Levin,doctor,driving,100.0
708,Levin,pharmacy,cycling,97.0
709,Levin,pharmacy,walking,54.0
710,Levin,pharmacy,driving,100.0
711,Levin,primary_school,cycling,97.0
712,Levin,primary_school,walking,89.0
713,Levin,primary_school,driving,100.0
714,Levin,oral_health,cycling,97.0
715,Levin,oral_health,walking,91.0
716,Levin,oral_health,driving,100.0
717,Levin,all,cycling,97.0
718,Levin,all,walking,30.0
719,Levin,all,driving,100.0
720,Whanganui,greenspace,cycling,99.0
721,Whanganui,greenspace,walking,96.0
722,Whanganui,greenspace,driving,100.0
723,Whanganui,supermarket,cycling,97.0
724,Whanganui,supermarket,walking,53.0
725,Whanganui,supermarket,driving,100.0
726,Whanganui,ece,cycling,99.0
727,Whanganui,ece,walking,91.0
728,Whanganui,ece,driving,100.0
729,Whanganui,doctor,cycling,98.0
730,Whanganui,doctor,walking,55.0
731,Whanganui,doctor,driving,100.0
732,Whanganui,pharmacy,cycling,92.0
733,Whanganui,pharmacy,walking,56.0
734,Whanganui,pharmacy,driving,100.0
735,Whanganui,primary_school,cycling,99.0
736,Whanganui,primary_school,walking,75.0
737,Whanganui,primary_school,driving,100.0
738,Whanganui,oral_health,cycling,99.0
739,Whanganui,oral_health,walking,76.0
740,Whanganui,oral_health,driving,100.0
741,Whanganui,all,cycling,92.0
742,Whanganui,all,walking,31.0
743,Whanganui,all,driving,100.0
744,Feilding,greenspace,cycling,100.0
745,Feilding,greenspace,walking,85.0
746,Feilding,greenspace,driving,100.0
747,Feilding,supermarket,cycling,99.0
748,Feilding,supermarket,walking,55.0
749,Feilding,supermarket,driving,100.0
750,Feilding,ece,cycling,100.0
751,Feilding,ece,walking,91.0
752,Feilding,ece,driving,100.0
753,Feilding,doctor,cycling,98.0
754,Feilding,doctor,walking,29.0
755,Feilding,doctor,driving,100.0
756,Feilding,pharmacy,cycling,99.0
757,Feilding,pharmacy,walking,48.0
758,Feilding,pharmacy,driving,100.0
759,Feilding,primary_school,cycling,99.0
760,Feilding,primary_school,walking,64.0
761,Feilding,primary_school,driving,100.0
762,Feilding,oral_health,cycling,99.0
763,Feilding,oral_health,walking,64.0
764,Feilding,oral_health,driving,100.0
765,Feilding,all,cycling,98.0
766,Feilding,all,walking,26.0
767,Feilding,all,driving,100.0
768,Waikanae,greenspace,cycling,94.0
769,Waikanae,greenspace,walking,94.0
770,Waikanae,greenspace,driving,100.0
771,Waikanae,supermarket,cycling,96.0
772,Waikanae,supermarket,walking,40.0
773,Waikanae,supermarket,driving,100.0
774,Waikanae,ece,cycling,95.0
775,Waikanae,ece,walking,68.0
776,Waikanae,ece,driving,99.0
777,Waikanae,doctor,cycling,66.0
778,Waikanae,doctor,walking,34.0
779,Waikanae,doctor,driving,100.0
780,Waikanae,pharmacy,cycling,67.0
781,Waikanae,pharmacy,walking,38.0
782,Waikanae,pharmacy,driving,100.0
783,Waikanae,primary_school,cycling,74.0
784,Waikanae,primary_school,walking,43.0
785,Waikanae,primary_school,driving,100.0
786,Waikanae,oral_health,cycling,74.0
787,Waikanae,oral_health,walking,43.0
788,Waikanae,oral_health,driving,100.0
789,Waikanae,all,cycling,66.0
790,Waikanae,all,walking,24.0
791,Waikanae,all,driving,100.0
792,Porirua,greenspace,cycling,100.0
793,Porirua,greenspace,walking,97.0
794,Porirua,greenspace,driving,100.0
795,Porirua,supermarket,cycling,98.0
796,Porirua,supermarket,walking,56.0
797,Porirua,supermarket,driving,100.0
798,Porirua,ece,cycling,100.0
799,Porirua,ece,walking,90.0
800,Porirua,ece,driving,100.0
801,Porirua,doctor,cycling,94.0
802,Porirua,doctor,walking,56.0
803,Porirua,doctor,driving,100.0
804,Porirua,pharmacy,cycling,93.0
805,Porirua,pharmacy,walking,51.0
806,Porirua,pharmacy,driving,100.0
807,Porirua,primary_school,cycling,99.0
808,Porirua,primary_school,walking,80.0
809,Porirua,primary_school,driving,100.0
810,Porirua,oral_health,cycling,99.0
811,Porirua,oral_health,walking,76.0
812,Porirua,oral_health,driving,100.0
813,Porirua,all,cycling,92.0
814,Porirua,all,walking,33.0
815,Porirua,all,driving,100.0
816,Ashburton,greenspace,cycling,99.0
817,Ashburton,greenspace,walking,96.0
818,Ashburton,greenspace,driving,100.0
819,Ashburton,supermarket,cycling,100.0
820,Ashburton,supermarket,walking,70.0
821,Ashburton,supermarket,driving,100.0
822,Ashburton,ece,cycling,100.0
823,Ashburton,ece,walking,94.0
824,Ashburton,ece,driving,100.0
825,Ashburton,doctor,cycling,97.0
826,Ashburton,doctor,walking,59.0
827,Ashburton,doctor,driving,100.0
828,Ashburton,pharmacy,cycling,100.0
829,Ashburton,pharmacy,walking,72.0
830,Ashburton,pharmacy,driving,100.0
831,Ashburton,primary_school,cycling,100.0
832,Ashburton,primary_school,walking,72.0
833,Ashburton,primary_school,driving,100.0
834,Ashburton,oral_health,cycling,100.0
835,Ashburton,oral_health,walking,79.0
836,Ashburton,oral_health,driving,100.0
837,Ashburton,all,cycling,95.0
838,Ashburton,all,walking,54.0
839,Ashburton,all,driving,100.0
840,Blenheim,greenspace,cycling,100.0
841,Blenheim,greenspace,walking,98.0
842,Blenheim,greenspace,driving,100.0
843,Blenheim,supermarket,cycling,99.0
844,Blenheim,supermarket,walking,47.0
845,Blenheim,supermarket,driving,100.0
846,Blenheim,ece,cycling,100.0
847,Blenheim,ece,walking,88.0
848,Blenheim,ece,driving,100.0
849,Blenheim,doctor,cycling,98.0
850,Blenheim,doctor,walking,55.0
851,Blenheim,doctor,driving,100.0
852,Blenheim,pharmacy,cycling,98.0
853,Blenheim,pharmacy,walking,58.0
854,Blenheim,pharmacy,driving,100.0
855,Blenheim,primary_school,cycling,100.0
856,Blenheim,primary_school,walking,71.0
857,Blenheim,primary_school,driving,100.0
858,Blenheim,oral_health,cycling,100.0
859,Blenheim,oral_health,walking,29.0
860,Blenheim,oral_health,driving,100.0
861,Blenheim,all,cycling,97.0
862,Blenheim,all,walking,17.0
863,Blenheim,all,driving,100.0
864,Upper Hutt,greenspace,cycling,97.0
865,Upper Hutt,greenspace,walking,92.0
866,Upper Hutt,greenspace,driving,100.0
867,Upper Hutt,supermarket,cycling,87.0
868,Upper Hutt,supermarket,walking,47.0
869,Upper Hutt,supermarket,driving,100.0
870,Upper Hutt,ece,cycling,95.0
871,Upper Hutt,ece,walking,84.0
872,Upper Hutt,ece,driving,100.0
873,Upper Hutt,doctor,cycling,81.0
874,Upper Hutt,doctor,walking,36.0
875,Upper Hutt,doctor,driving,100.0
876,Upper Hutt,pharmacy,cycling,81.0
877,Upper Hutt,pharmacy,walking,38.0
878,Upper Hutt,pharmacy,driving,100.0
879,Upper Hutt,primary_school,cycling,95.0
880,Upper Hutt,primary_school,walking,73.0
881,Upper Hutt,primary_school,driving,100.0
882,Upper Hutt,oral_health,cycling,95.0
883,Upper Hutt,oral_health,walking,74.0
884,Upper Hutt,oral_health,driving,100.0
885,Upper Hutt,all,cycling,78.0
886,Upper Hutt,all,walking,25.0
887,Upper Hutt,all,driving,100.0
888,Mosgiel,greenspace,cycling,99.0
889,Mosgiel,greenspace,walking,90.0
890,Mosgiel,greenspace,driving,100.0
891,Mosgiel,supermarket,cycling,99.0
892,Mosgiel,supermarket,walking,53.0
893,Mosgiel,supermarket,driving,100.0
894,Mosgiel,ece,cycling,99.0
895,Mosgiel,ece,walking,77.0
896,Mosgiel,ece,driving,100.0
897,Mosgiel,doctor,cycling,97.0
898,Mosgiel,doctor,walking,41.0
899,Mosgiel,doctor,driving,100.0
900,Mosgiel,pharmacy,cycling,97.0
901,Mosgiel,pharmacy,walking,47.0
902,Mosgiel,pharmacy,driving,100.0
903,Mosgiel,primary_school,cycling,98.0
904,Mosgiel,primary_school,walking,53.0
905,Mosgiel,primary_school,driving,100.0
906,Mosgiel,oral_health,cycling,95.0
907,Mosgiel,oral_health,walking,42.0
908,Mosgiel,oral_health,driving,100.0
909,Mosgiel,all,cycling,95.0
910,Mosgiel,all,walking,31.0
911,Mosgiel,all,driving,100.0
912,Rangiora,greenspace,cycling,100.0
913,Rangiora,greenspace,walking,98.0
914,Rangiora,greenspace,driving,100.0
915,Rangiora,supermarket,cycling,99.0
916,Rangiora,supermarket,walking,41.0
917,Rangiora,supermarket,driving,100.0
918,Rangiora,ece,cycling,100.0
919,Rangiora,ece,walking,86.0
920,Rangiora,ece,driving,100.0
921,Rangiora,doctor,cycling,99.0
922,Rangiora,doctor,walking,59.0
923,Rangiora,doctor,driving,100.0
924,Rangiora,pharmacy,cycling,99.0
925,Rangiora,pharmacy,walking,41.0
926,Rangiora,pharmacy,driving,100.0
927,Rangiora,primary_school,cycling,100.0
928,Rangiora,primary_school,walking,74.0
929,Rangiora,primary_school,driving,100.0
930,Rangiora,oral_health,cycling,100.0
931,Rangiora,oral_health,walking,65.0
932,Rangiora,oral_health,driving,100.0
933,Rangiora,all,cycling,99.0
934,Rangiora,all,walking,28.0
935,Rangiora,all,driving,100.0
936,Kaiapoi,greenspace,cycling,98.0
937,Kaiapoi,greenspace,walking,98.0
938,Kaiapoi,greenspace,driving,100.0
939,Kaiapoi,supermarket,cycling,95.0
940,Kaiapoi,supermarket,walking,31.0
941,Kaiapoi,supermarket,driving,100.0
942,Kaiapoi,ece,cycling,100.0
943,Kaiapoi,ece,walking,89.0
944,Kaiapoi,ece,driving,100.0
945,Kaiapoi,doctor,cycling,95.0
946,Kaiapoi,doctor,walking,34.0
947,Kaiapoi,doctor,driving,100.0
948,Kaiapoi,pharmacy,cycling,95.0
949,Kaiapoi,pharmacy,walking,32.0
950,Kaiapoi,pharmacy,driving,100.0
951,Kaiapoi,primary_school,cycling,97.0
952,Kaiapoi,primary_school,walking,44.0
953,Kaiapoi,primary_school,driving,100.0
954,Kaiapoi,oral_health,cycling,98.0
955,Kaiapoi,oral_health,walking,68.0
956,Kaiapoi,oral_health,driving,100.0
957,Kaiapoi,all,cycling,95.0
958,Kaiapoi,all,walking,29.0
959,Kaiapoi,all,driving,100.0
960,Timaru,greenspace,cycling,98.0
961,Timaru,greenspace,walking,94.0
962,Timaru,greenspace,driving,100.0
963,Timaru,supermarket,cycling,97.0
964,Timaru,supermarket,walking,44.0
965,Timaru,supermarket,driving,100.0
966,Timaru,ece,cycling,99.0
967,Timaru,ece,walking,87.0
968,Timaru,ece,driving,100.0
969,Timaru,doctor,cycling,95.0
970,Timaru,doctor,walking,57.0
971,Timaru,doctor,driving,100.0
972,Timaru,pharmacy,cycling,97.0
973,Timaru,pharmacy,walking,50.0
974,Timaru,pharmacy,driving,100.0
975,Timaru,primary_school,cycling,99.0
976,Timaru,primary_school,walking,82.0
977,Timaru,primary_school,driving,100.0
978,Timaru,oral_health,cycling,99.0
979,Timaru,oral_health,walking,87.0
980,Timaru,oral_health,driving,100.0
981,Timaru,all,cycling,94.0
982,Timaru,all,walking,29.0
983,Timaru,all,driving,100.0
984,Queenstown,greenspace,cycling,97.0
985,Queenstown,greenspace,walking,89.0
986,Queenstown,greenspace,driving,98.0
987,Queenstown,supermarket,cycling,71.0
988,Queenstown,supermarket,walking,36.0
989,Queenstown,supermarket,driving,98.0
990,Queenstown,ece,cycling,87.0
991,Queenstown,ece,walking,39.0
992,Queenstown,ece,driving,99.0
993,Queenstown,doctor,cycling,75.0
994,Queenstown,doctor,walking,44.0
995,Queenstown,doctor,driving,99.0
996,Queenstown,pharmacy,cycling,82.0
997,Queenstown,pharmacy,walking,43.0
998,Queenstown,pharmacy,driving,99.0
999,Queenstown,primary_school,cycling,75.0
1000,Queenstown,primary_school,walking,42.0
1001,Queenstown,primary_school,driving,99.0
1002,Queenstown,oral_health,cycling,62.0
1003,Queenstown,oral_health,walking,30.0
1004,Queenstown,oral_health,driving,91.0
1005,Queenstown,all,cycling,63.0
1006,Queenstown,all,walking,27.0
1007,Queenstown,all,driving,93.0
