,mode,dest_type,region,duration,suburb
0,walking,primary_school,Whangārei,14.129800307219663,Tikipunga South
0,walking,greenspace,Whangārei,3.589093701996928,Tikipunga South
0,walking,all,Whangārei,19.170506912442395,Tikipunga South
0,walking,supermarket,Whangārei,26.05603448275862,Riverside
0,walking,ece,Whangārei,12.39655172413793,Riverside
0,walking,pharmacy,Whangārei,27.645114942528735,Riverside
0,walking,doctor,Whangārei,28.117816091954023,Riverside
0,walking,primary_school,Whangārei,32.3433908045977,Riverside
0,walking,greenspace,Whangārei,9.14080459770115,Riverside
0,walking,all,Whangārei,32.3433908045977,Riverside
0,walking,supermarket,Whangārei,14.72858431018936,Raumanga
0,walking,ece,Whangārei,6.625788999098287,Raumanga
0,walking,pharmacy,Whangārei,16.398557258791705,Raumanga
0,walking,doctor,Whangārei,13.72858431018936,Raumanga
0,walking,primary_school,Whangārei,10.952209197475202,Raumanga
0,walking,greenspace,Whangārei,14.915238954012624,Raumanga
0,walking,all,Whangārei,17.697926059513076,Raumanga
0,walking,supermarket,Whangārei,14.826617826617827,Sherwood Rise
0,walking,ece,Whangārei,12.380952380952381,Sherwood Rise
0,walking,pharmacy,Whangārei,13.617826617826617,Sherwood Rise
0,walking,doctor,Whangārei,13.617826617826617,Sherwood Rise
0,walking,primary_school,Whangārei,17.826617826617827,Sherwood Rise
0,walking,greenspace,Whangārei,5.26984126984127,Sherwood Rise
0,walking,all,Whangārei,17.826617826617827,Sherwood Rise
0,walking,supermarket,Whangārei,6.383792048929664,Tarewa
0,walking,ece,Whangārei,8.229357798165138,Tarewa
0,walking,pharmacy,Whangārei,7.015290519877676,Tarewa
0,walking,doctor,Whangārei,6.847094801223242,Tarewa
0,walking,primary_school,Whangārei,9.64525993883792,Tarewa
0,walking,greenspace,Whangārei,6.970948012232416,Tarewa
0,walking,all,Whangārei,10.62691131498471,Tarewa
0,walking,supermarket,Whangārei,12.294723294723294,Morningside (Whangarei District)
0,walking,ece,Whangārei,5.66023166023166,Morningside (Whangarei District)
0,walking,pharmacy,Whangārei,16.87001287001287,Morningside (Whangarei District)
0,walking,doctor,Whangārei,17.095238095238095,Morningside (Whangarei District)
0,walking,primary_school,Whangārei,5.640926640926641,Morningside (Whangarei District)
0,walking,greenspace,Whangārei,4.539253539253539,Morningside (Whangarei District)
0,walking,all,Whangārei,17.967824967824967,Morningside (Whangarei District)
0,walking,supermarket,Whangārei,30.294117647058822,Port-Limeburners
0,walking,ece,Whangārei,22.88235294117647,Port-Limeburners
0,walking,pharmacy,Whangārei,33.11764705882353,Port-Limeburners
0,walking,doctor,Whangārei,33.8235294117647,Port-Limeburners
0,walking,primary_school,Whangārei,32.529411764705884,Port-Limeburners
0,walking,greenspace,Whangārei,34.411764705882355,Port-Limeburners
0,walking,all,Whangārei,38.529411764705884,Port-Limeburners
0,walking,supermarket,Whangārei,11.180790960451978,Onerahi Park
0,walking,ece,Whangārei,6.930320150659134,Onerahi Park
0,walking,pharmacy,Whangārei,10.828625235404896,Onerahi Park
0,walking,doctor,Whangārei,10.828625235404896,Onerahi Park
0,walking,primary_school,Whangārei,13.815442561205273,Onerahi Park
0,walking,greenspace,Whangārei,4.389830508474576,Onerahi Park
0,walking,all,Whangārei,13.815442561205273,Onerahi Park
0,walking,supermarket,Whangārei,16.206812652068127,Onerahi
0,walking,ece,Whangārei,8.105839416058394,Onerahi
0,walking,pharmacy,Whangārei,17.152068126520682,Onerahi
0,walking,doctor,Whangārei,17.152068126520682,Onerahi
0,walking,primary_school,Whangārei,8.079075425790755,Onerahi
0,walking,greenspace,Whangārei,3.148418491484185,Onerahi
0,walking,all,Whangārei,17.4330900243309,Onerahi
0,walking,supermarket,Whangārei,15.795925597874225,all
0,walking,ece,Whangārei,7.463182757602598,all
0,walking,pharmacy,Whangārei,13.41080602302923,all
0,walking,doctor,Whangārei,12.507233540005904,all
0,walking,primary_school,Whangārei,12.750575730735164,all
0,walking,greenspace,Whangārei,6.650250959551225,all
0,walking,all,Whangārei,18.161558901682906,all
0,walking,supermarket,Auckland,29.89430894308943,Glendowie South
0,walking,ece,Auckland,4.623983739837398,Glendowie South
0,walking,pharmacy,Auckland,10.730352303523036,Glendowie South
0,walking,doctor,Auckland,12.175474254742548,Glendowie South
0,walking,primary_school,Auckland,8.407859078590786,Glendowie South
0,walking,greenspace,Auckland,1.7601626016260163,Glendowie South
0,walking,all,Auckland,29.89430894308943,Glendowie South
0,walking,supermarket,Auckland,6.052469135802469,Milford Central
0,walking,ece,Auckland,5.893518518518518,Milford Central
0,walking,pharmacy,Auckland,5.890432098765432,Milford Central
0,walking,doctor,Auckland,6.96141975308642,Milford Central
0,walking,primary_school,Auckland,12.612654320987655,Milford Central
0,walking,greenspace,Auckland,1.8009259259259258,Milford Central
0,walking,all,Auckland,12.612654320987655,Milford Central
0,walking,supermarket,Auckland,7.733242134062928,Greenlane North
0,walking,ece,Auckland,5.344049247606019,Greenlane North
0,walking,pharmacy,Auckland,7.300957592339262,Greenlane North
0,walking,doctor,Auckland,7.477428180574555,Greenlane North
0,walking,primary_school,Auckland,8.45827633378933,Greenlane North
0,walking,greenspace,Auckland,5.10875512995896,Greenlane North
0,walking,all,Auckland,10.121067031463749,Greenlane North
0,walking,supermarket,Auckland,7.816155988857939,Torbay
0,walking,ece,Auckland,7.644846796657381,Torbay
0,walking,pharmacy,Auckland,8.145543175487465,Torbay
0,walking,doctor,Auckland,7.490947075208914,Torbay
0,walking,primary_school,Auckland,16.814066852367688,Torbay
0,walking,greenspace,Auckland,3.802924791086351,Torbay
0,walking,all,Auckland,17.71100278551532,Torbay
0,walking,supermarket,Auckland,12.76271186440678,Point Chevalier East
0,walking,ece,Auckland,5.121903520208605,Point Chevalier East
0,walking,pharmacy,Auckland,13.343546284224251,Point Chevalier East
