,dest_type,lon,lat
0,pharmacy,174.8393929996157,-36.91513600075504
1,pharmacy,174.8990520000855,-36.88098430101733
2,pharmacy,174.074393699828,-39.05748020062395
3,pharmacy,174.8214575996472,-36.95911750129228
4,pharmacy,171.210676099468,-42.44973780059847
5,pharmacy,168.3477573993163,-46.39497700107712
6,pharmacy,175.5646676000134,-40.22690130110226
7,pharmacy,178.0206781003113,-38.64993680078322
8,pharmacy,174.683949000022,-36.90877900067505
9,pharmacy,170.5187562000468,-45.85493410090316
10,pharmacy,174.7456037999079,-36.80159490079694
11,pharmacy,171.2372214000929,-44.38326260075597
12,pharmacy,174.9070740002998,-36.94536190075835
13,pharmacy,174.1130594000719,-39.04758830084861
14,pharmacy,174.9223173994347,-41.21459470086596
15,pharmacy,173.2871672998937,-41.2736923008955
16,pharmacy,174.7870148002973,-36.92296260134748
17,pharmacy,174.917931600425,-36.91905240077623
18,pharmacy,175.2853151005656,-40.62280740067483
19,pharmacy,173.1860860004302,-41.34021800089241
20,pharmacy,172.710579799987,-43.4950086009156
21,pharmacy,174.7170553002786,-36.91119370063187
22,pharmacy,174.7443102005207,-36.84825850132857
23,pharmacy,174.6982909002331,-36.72567590084535
24,pharmacy,174.7392493996553,-36.74701360086814
25,pharmacy,174.7486181998498,-36.85827880122855
26,pharmacy,172.6416393995295,-43.49880300108146
27,pharmacy,174.7732159997593,-36.79068010096945
28,pharmacy,174.7755011004601,-41.29031290105979
29,pharmacy,175.2904259998593,-40.62385600093474
30,pharmacy,174.7222625996558,-36.77030280099407
31,pharmacy,174.7550702995032,-36.79512310077829
32,pharmacy,176.8982127002335,-39.48010610118101
33,pharmacy,172.6363977000015,-43.52031930120916
34,pharmacy,178.0245642009604,-38.65502510051465
35,pharmacy,174.7654168998627,-36.79126740091244
36,pharmacy,176.2191022999745,-38.12855170099492
37,pharmacy,174.070860399956,-39.05702170125853
38,pharmacy,175.0664221999303,-41.12499690133604
39,pharmacy,176.8781855004793,-39.66955480096897
40,pharmacy,175.2411953001971,-37.75063900087058
41,pharmacy,174.8259540000965,-36.87633680121379
42,pharmacy,174.6788574004087,-36.61613120097299
43,pharmacy,170.9625133002309,-42.71729460073103
44,pharmacy,176.2258556003675,-38.11553620132664
45,pharmacy,174.7479197996186,-36.63636530097093
46,pharmacy,174.7799856006008,-41.29282270113544
47,pharmacy,175.0384074005375,-39.9438200008615
48,pharmacy,174.0072583000093,-41.29221300090606
49,pharmacy,174.8397467998802,-36.96242960048486
50,pharmacy,174.8397467998802,-36.96242960048486
51,pharmacy,174.8397467998802,-36.96242960048486
52,pharmacy,175.5395240000139,-37.13979070052678
53,pharmacy,174.778221799484,-41.27582560067199
54,pharmacy,174.7785307002375,-41.31153050117459
55,pharmacy,174.7514087999855,-36.8524113013239
56,pharmacy,175.282738900058,-37.77161460069112
57,pharmacy,171.6469578996124,-43.63351200077766
58,pharmacy,176.8442689995661,-39.64147480111784
59,pharmacy,174.766031900157,-36.84595300130493
60,pharmacy,174.7414488995439,-36.90490160120044
61,pharmacy,173.9569294999671,-41.51363040107177
62,pharmacy,174.9412817998875,-37.06129740120463
63,pharmacy,172.55712679941,-43.55281900114001
64,pharmacy,168.35447010019,-46.4109610007349
65,pharmacy,174.8076556996131,-41.20270070111464
66,pharmacy,168.943840400479,-46.10132460096497
67,pharmacy,174.9295772004244,-41.20730370099682
68,pharmacy,174.7661490997029,-36.84676240074465
69,pharmacy,174.8873290997151,-37.02755690134563
70,pharmacy,174.75151810036,-36.69556280098904
71,pharmacy,175.1651104005279,-38.3338654009806
72,pharmacy,174.9146337000176,-37.03938660077193
73,pharmacy,176.7007655005939,-38.09052390088053
74,pharmacy,174.7411257003412,-36.75848930090292
75,pharmacy,175.2373378002954,-37.78046090091367
76,pharmacy,174.8683944002769,-41.09233370091919
77,pharmacy,169.3147526994762,-45.54088760084522
78,pharmacy,175.2752702004345,-37.73098750055287
79,pharmacy,172.6363916996155,-43.5135859006705
80,pharmacy,172.5804542997897,-43.51200150108181
81,pharmacy,174.709952800133,-36.75439490076295
82,pharmacy,175.6132375003633,-40.3569345009847
83,pharmacy,174.7789414004209,-36.8533208012451
84,pharmacy,175.2750214003717,-37.73097100074661
85,pharmacy,175.2750214003717,-37.73097100074661
86,pharmacy,176.0704304999686,-38.68538940088679
87,pharmacy,174.8283173000387,-36.87610140071845
88,pharmacy,174.7044509001574,-36.73074620091636
89,pharmacy,175.1501647001773,-37.66743240117947
90,pharmacy,174.0742023996872,-39.05656290125226
91,pharmacy,175.0635490003114,-40.87617500062032
92,pharmacy,172.6884627994064,-43.49538770136332
93,pharmacy,176.9939364005874,-37.95451670079265
94,pharmacy,173.2497086002381,-41.28117620055249
95,pharmacy,174.8999724000836,-37.20062750082264
96,pharmacy,175.0117636998053,-41.14769370133764
97,pharmacy,174.8602643002366,-36.97077270068375
98,pharmacy,177.2847275996056,-38.00523470064147
99,pharmacy,174.8314927994948,-36.88857120073065
100,pharmacy,174.9034228004559,-36.96503760075454
101,pharmacy,176.8428494003244,-39.64274890101314
102,pharmacy,176.8318273998789,-39.63055490053524
103,pharmacy,174.7273985005453,-36.90440750046408
104,pharmacy,174.9287201999269,-36.91357670079838
105,pharmacy,176.0761407003085,-38.68924910065638
106,pharmacy,173.9569765005284,-39.11554870048753
107,pharmacy,176.2527195003977,-38.13360410088247
108,pharmacy,174.006945000135,-41.29267600054884
109,pharmacy,172.6376504004776,-43.51533730079186
110,pharmacy,176.2513114003924,-38.13514180109968
111,pharmacy,175.2527437999533,-37.7381070007084
112,pharmacy,174.3057150999436,-35.73424850071589
113,pharmacy,177.2847241000127,-38.00476300092435
114,pharmacy,174.3681052995075,-35.75503900099057
115,pharmacy,175.4632338001709,-36.24332910081097
116,pharmacy,176.0765530995285,-38.68932580110009
117,pharmacy,172.5994589003949,-43.53010120114987
118,pharmacy,174.7521267999151,-36.87733400062771
119,pharmacy,176.2483679000133,-38.13550990113833
120,pharmacy,174.7276043995004,-36.73564750126111
121,pharmacy,174.7658618995569,-36.77271840084799
122,pharmacy,168.7422134995109,-45.02657870112339
123,pharmacy,176.7017944998488,-38.08725480087854
124,pharmacy,175.0641180996363,-40.87675850053525
125,pharmacy,174.7661330002734,-36.77237740102581
126,pharmacy,174.8573861002077,-36.85141660082998
127,pharmacy,168.3653444993598,-46.39767270108253
128,pharmacy,174.5874277005107,-36.09494790100724
129,pharmacy,176.7885375006094,-39.62699390114238
130,pharmacy,174.494403300296,-36.76674530100496
131,pharmacy,172.3704548005309,-43.52245250105708
132,pharmacy,176.1357910997297,-37.7280481011944
133,pharmacy,174.8732386002771,-36.96197830110264
134,pharmacy,172.5947609994958,-43.30331690066398
135,pharmacy,175.009420800227,-36.78285710127545
136,pharmacy,172.6044740994296,-43.5660705012863
137,pharmacy,174.9604529002986,-41.17954190110377
138,pharmacy,175.0232422005351,-39.94088780057242
139,pharmacy,174.9043361995885,-37.20085190118824
140,pharmacy,175.0508296998946,-39.93250240112746
141,pharmacy,174.7104610997202,-36.87035190129115
142,pharmacy,174.7757187998007,-41.29286520072615
143,pharmacy,175.6722395000646,-37.3812575008129
144,pharmacy,172.6640803997286,-43.55312600136927
145,pharmacy,174.7838920999343,-36.87383380050118
146,pharmacy,174.7426604998943,-36.90266210096221
147,pharmacy,175.5895756000357,-40.35681090082818
148,pharmacy,175.1590256997957,-37.55912290101049
149,pharmacy,175.8415534997,-40.45288750051882
150,pharmacy,174.7518045002477,-36.87244830047074
